Deltas entre nodos que respondieron:
TTL IP               RTT(ms)   RTT(i)-RTT(i-1) (ms)     Estimado
14  129.250.3.40     336        136                     NO   
15  129.250.4.88     191       -145                     NO   
16  129.250.2.219    233         42                     NO   
17  129.250.7.69     235          2                     NO   
18  129.250.2.177    343        108                     NO   
19  129.250.7.33     371         28                     NO   
20  129.250.3.106    328        -43                     NO   
21  61.200.82.178    335          7                     NO   
22  *                  *          1                     SI   
23  *                  *          1                     SI   
24  *                  *          1                     SI   
25  210.188.213.76   340          1                     NO   
 1  192.168.0.1       56         11                     NO   
 2  10.33.64.1        68         12                     NO   
 3  100.72.4.149      64         -4                     NO   
 4  100.72.3.194      58         -6                     NO   
 5  100.72.3.193      65          7                     NO   
 6  100.72.3.185      84         19                     NO   
 7  10.242.5.18       79         -5                     NO   
 8  200.32.127.98     67        -12                     NO   
 9  *                  *         54                     SI   
10  67.17.99.233     176         54                     NO   
11  *                  *          2                     SI   
12  *                  *          2                     SI   
13  4.68.127.54      183          2                     NO   
14  129.250.2.202    352        169                     NO   
15  129.250.4.20     192       -160                     NO   
16  129.250.2.219    204         12                     NO   
17  129.250.7.69     224         20                     NO   
18  129.250.2.177    356        132                     NO   
19  129.250.7.33     312        -44                     NO   
20  129.250.3.106    352         40                     NO   
21  61.200.82.178    335        -17                     NO   
22  *                  *          2                     SI   
23  *                  *          2                     SI   
24  *                  *          2                     SI   
25  210.188.213.76   344          2                     NO   
 1  192.168.0.1       81         10                     NO   
 2  10.33.64.1        64        -17                     NO   
 3  100.72.4.149      71          7                     NO   
 4  100.72.3.194      72          1                     NO   
 5  100.72.3.193      69         -3                     NO   
 6  100.72.3.185      67         -2                     NO   
 7  10.242.5.18       72          5                     NO   
 8  200.32.127.98     38        -34                     NO   
 9  *                  *         76                     SI   
10  67.17.94.249     191         76                     NO   
11  *                  *          1                     SI   
12  *                  *          1                     SI   
13  4.68.127.54      195          1                     NO   
14  129.250.2.202    344        149                     NO   
15  129.250.4.20     207       -137                     NO   
16  129.250.2.219    211          4                     NO   
17  129.250.7.69     239         28                     NO   
18  129.250.2.177    331         92                     NO   
19  129.250.7.33     344         13                     NO   
20  129.250.3.106    340         -4                     NO   
21  61.200.82.178    339         -1                     NO   
22  *                  *         -1                     SI   
23  *                  *         -1                     SI   
24  *                  *         -1                     SI   
25  210.188.213.76   335         -1                     NO   
 1  192.168.0.1       67         11                     NO   
 2  10.33.64.1        59         -8                     NO   
 3  100.72.4.149      56         -3                     NO   
 4  100.72.3.194      55         -1                     NO   
 5  100.72.3.193      63          8                     NO   
 6  100.72.3.185      71          8                     NO   
 7  10.242.5.18       48        -23                     NO   
 8  200.32.127.98     55          7                     NO   
 9  200.32.127.97     51         -4                     NO   
10  67.17.99.233     172        121                     NO   
11  *                  *         15                     SI   
12  *                  *         15                     SI   
13  4.68.127.54      219         15                     NO   
14  129.250.3.40     340        121                     NO   
15  129.250.4.88     192       -148                     NO   
16  129.250.2.219    215         23                     NO   
17  129.250.7.69     237         22                     NO   
18  129.250.2.177    348        111                     NO   
19  129.250.2.128    352          4                     NO   
20  129.250.3.232    352          0                     NO   
21  61.200.82.178    331        -21                     NO   
22  *                  *          0                     SI   
23  *                  *          0                     SI   
24  *                  *          0                     SI   
25  210.188.213.76   332          0                     NO   
26  *                  *         12                     SI   
27  183.90.238.55    357         12                     NO   
 1  192.168.0.1       47         11                     NO   
 2  10.33.64.1        46         -1                     NO   
 3  100.72.4.149      82         36                     NO   
 4  100.72.3.194      77         -5                     NO   
 5  100.72.3.193      56        -21                     NO   
 6  100.72.3.185      59          3                     NO   
 7  10.242.5.18       75         16                     NO   
 8  200.32.127.98     76          1                     NO   
 9  *                  *         58                     SI   
10  67.17.94.249     192         58                     NO   
11  *                  *         -6                     SI   
12  *                  *         -6                     SI   
13  4.68.127.54      172         -6                     NO   
14  129.250.3.40     323        151                     NO   
15  129.250.4.88     209       -114                     NO   
16  129.250.2.219    204         -5                     NO   
17  129.250.7.69     223         19                     NO   
18  129.250.2.177    344        121                     NO   
19  129.250.2.128    336         -8                     NO   
20  129.250.3.232    332         -4                     NO   
21  61.200.82.178    339          7                     NO   
22  *                  *          0                     SI   
23  *                  *          0                     SI   
24  *                  *          0                     SI   
25  210.188.213.76   336          0                     NO   
26  183.90.238.55    371         35                     NO   
 1  192.168.0.1       47         12                     NO   
 2  10.33.64.1        68         21                     NO   
 3  100.72.4.149      67         -1                     NO   
 4  100.72.3.194      68          1                     NO   
 5  100.72.3.193      56        -12                     NO   
 6  100.72.3.185      76         20                     NO   
 7  10.242.5.18       88         12                     NO   
 8  200.32.127.98     55        -33                     NO   
 9  *                  *         72                     SI   
10  67.17.94.249     200         72                     NO   
11  *                  *         -2                     SI   
12  *                  *         -2                     SI   
13  4.68.127.54      192         -2                     NO   
14  129.250.3.40     331        139                     NO   
15  129.250.4.88     179       -152                     NO   
16  129.250.2.219    199         20                     NO   
17  129.250.7.69     220         21                     NO   
18  129.250.2.177    327        107                     NO   
19  129.250.7.33     332          5                     NO   
20  129.250.3.106    335          3                     NO   
21  61.200.82.178    332         -3                     NO   
22  *                  *          6                     SI   
23  *                  *          6                     SI   
24  *                  *          6                     SI   
25  210.188.213.76   359          6                     NO   
26  183.90.238.55    355         -4                     NO   
 1  192.168.0.1       68         11                     NO   
 2  10.33.64.1        59         -9                     NO   
 3  100.72.4.149      63          4                     NO   
 4  100.72.3.194      63          0                     NO   
 5  100.72.3.193      68          5                     NO   
 6  100.72.3.185      63         -5                     NO   
 7  10.242.5.18       55         -8                     NO   
 8  200.32.127.98     52         -3                     NO   
 9  200.32.127.97     48         -4                     NO   
10  67.17.99.233     167        119                     NO   
11  *                  *          8                     SI   
12  *                  *          8                     SI   
13  4.68.127.54      191          8                     NO   
14  129.250.3.40     327        136                     NO   
15  129.250.4.88     188       -139                     NO   
16  129.250.2.219    237         49                     NO   
17  129.250.7.69     227        -10                     NO   
18  129.250.2.177    335        108                     NO   
19  129.250.2.128    328         -7                     NO   
20  129.250.3.232    336          8                     NO   
21  61.200.82.178    336          0                     NO   
22  *                  *          2                     SI   
23  *                  *          2                     SI   
24  *                  *          2                     SI   
25  210.188.213.76   344          2                     NO   
26  183.90.238.55    347          3                     NO   
 1  192.168.0.1       35         12                     NO   
 2  10.33.64.1        42          7                     NO   
 3  100.72.4.149      51          9                     NO   
 4  100.72.3.194      48         -3                     NO   
 5  100.72.3.193      60         12                     NO   
 6  100.72.3.185      69          9                     NO   
 7  10.242.5.18       65         -4                     NO   
 8  200.32.127.98     56         -9                     NO   
 9  *                  *         59                     SI   
10  67.17.99.233     175         59                     NO   
11  *                  *          0                     SI   
12  *                  *          0                     SI   
13  4.68.127.54      176          0                     NO   
14  129.250.2.202    327        151                     NO   
15  129.250.4.20     192       -135                     NO   
16  129.250.2.219    219         27                     NO   
17  129.250.7.69     224          5                     NO   
18  129.250.2.177    343        119                     NO   
19  129.250.7.33     360         17                     NO   
20  129.250.3.210    335        -25                     NO   
21  61.200.91.186    328         -7                     NO   
22  *                  *          4                     SI   
23  *                  *          4                     SI   
24  *                  *          4                     SI   
25  210.188.213.76   347          4                     NO   
26  183.90.238.55    360         13                     NO   
 1  192.168.0.1       56         12                     NO   
 2  10.33.64.1        51         -5                     NO   
 3  100.72.4.149      39        -12                     NO   
 4  100.72.3.194     111         72                     NO   
 5  100.72.3.193      56        -55                     NO   
 6  100.72.3.185      55         -1                     NO   
 7  10.242.5.18       75         20                     NO   
 8  200.32.127.98     65        -10                     NO   
 9  *                  *         55                     SI   
10  67.17.94.249     176         55                     NO   
11  *                  *          2                     SI   
12  *                  *          2                     SI   
13  4.68.127.54      184          2                     NO   
14  129.250.3.40     331        147                     NO   
15  129.250.4.88     179       -152                     NO   
16  129.250.2.219    207         28                     NO   
17  129.250.7.69     228         21                     NO   
18  129.250.2.177    345        117                     NO   
19  129.250.7.33     331        -14                     NO   
20  129.250.3.106    363         32                     NO   
21  61.200.82.178    355         -8                     NO   
22  *                  *         -1                     SI   
23  *                  *         -1                     SI   
24  *                  *         -1                     SI   
25  210.188.213.76   351         -1                     NO   
26  183.90.238.55    343         -8                     NO   
 1  192.168.0.1       55         11                     NO   
 2  10.33.64.1        60          5                     NO   
 3  100.72.4.149      35        -25                     NO   
 4  100.72.3.194      63         28                     NO   
 5  100.72.3.193      40        -23                     NO   
 6  100.72.3.185      60         20                     NO   
 7  10.242.5.18       56         -4                     NO   
 8  200.32.127.98     52         -4                     NO   
 9  200.32.127.97     56          4                     NO   
10  67.17.99.233     171        115                     NO   
11  *                  *          6                     SI   
12  *                  *          6                     SI   
13  4.68.127.54      191          6                     NO   
14  129.250.2.202    327        136                     NO   
15  129.250.4.20     200       -127                     NO   
16  129.250.2.219    203          3                     NO   
17  129.250.7.69     231         28                     NO   
18  129.250.2.177    348        117                     NO   
19  129.250.7.33     353          5                     NO   
20  129.250.3.210    307        -46                     NO   
21  61.200.91.186    344         37                     NO   
22  *                  *         -2                     SI   
23  *                  *         -2                     SI   
24  *                  *         -2                     SI   
25  210.188.213.76   335         -2                     NO   
26  *                  *          6                     SI   
27  183.90.238.55    348          6                     NO   
 1  192.168.0.1       51         11                     NO   
 2  10.33.64.1        61         10                     NO   
 3  100.72.4.149      67          6                     NO   
 4  100.72.3.194      67          0                     NO   
 5  100.72.3.193      53        -14                     NO   
 6  100.72.3.185      64         11                     NO   
 7  10.242.5.18       91         27                     NO   
 8  200.32.127.98     57        -34                     NO   
 9  *                  *         61                     SI   
10  67.17.99.233     180         61                     NO   
11  *                  *         10                     SI   
12  *                  *         10                     SI   
13  4.68.127.54      212         10                     NO   
14  129.250.3.40     335        123                     NO   
15  129.250.4.88     191       -144                     NO   
16  129.250.2.219    196          5                     NO   
17  129.250.7.69     231         35                     NO   
18  129.250.2.177    339        108                     NO   
19  129.250.7.33     347          8                     NO   
20  129.250.3.210    328        -19                     NO   
21  61.200.91.186    339         11                     NO   
22  *                  *          0                     SI   
23  *                  *          0                     SI   
24  *                  *          0                     SI   
25  210.188.213.76   340          0                     NO   
26  183.90.238.55    335         -5                     NO   
 1  192.168.0.1       40         11                     NO   
 2  10.33.64.1        63         23                     NO   
 3  100.72.4.149      60         -3                     NO   
 4  100.72.3.194      55         -5                     NO   
 5  100.72.3.193      37        -18                     NO   
 6  100.72.3.185      56         19                     NO   
 7  10.242.5.18       76         20                     NO   
 8  200.32.127.98     59        -17                     NO   
 9  *                  *         64                     SI   
10  67.17.99.233     187         64                     NO   
11  *                  *          0                     SI   
12  *                  *          0                     SI   
13  4.68.127.54      187          0                     NO   
14  129.250.2.202    336        149                     NO   
15  129.250.4.20     208       -128                     NO   
16  129.250.2.219    212          4                     NO   
17  129.250.7.69     227         15                     NO   
18  129.250.2.177    336        109                     NO   
19  129.250.2.128    329         -7                     NO   
20  129.250.3.88     352         23                     NO   
21  61.200.91.186    328        -24                     NO   
22  *                  *          3                     SI   
23  *                  *          3                     SI   
24  *                  *          3                     SI   
25  210.188.213.76   343          3                     NO   
26  183.90.238.55    343          0                     NO   
 1  192.168.0.1       59         11                     NO   
 2  10.33.64.1        55         -4                     NO   
 3  100.72.4.149      63          8                     NO   
 4  100.72.3.194      45        -18                     NO   
 5  100.72.3.193      59         14                     NO   
 6  100.72.3.185      75         16                     NO   
 7  10.242.5.18       48        -27                     NO   
 8  200.32.127.98     65         17                     NO   
 9  200.32.127.97     56         -9                     NO   
10  67.17.99.233     171        115                     NO   
11  *                  *          4                     SI   
12  *                  *          4                     SI   
13  4.68.127.54      184          4                     NO   
14  129.250.3.40     336        152                     NO   
15  129.250.4.88     179       -157                     NO   
16  129.250.2.219    220         41                     NO   
17  129.250.7.69     239         19                     NO   
18  129.250.2.177    331         92                     NO   
19  129.250.7.33     336          5                     NO   
20  129.250.3.106    347         11                     NO   
21  61.200.82.178    321        -26                     NO   
22  *                  *         10                     SI   
23  *                  *         10                     SI   
24  *                  *         10                     SI   
25  210.188.213.76   361         10                     NO   
26  183.90.238.55    356         -5                     NO   
 1  192.168.0.1       51         12                     NO   
 2  10.33.64.1        49         -2                     NO   
 3  100.72.4.149      69         20                     NO   
 4  100.72.3.194      51        -18                     NO   
 5  100.72.3.193      59          8                     NO   
 6  100.72.3.185      48        -11                     NO   
 7  10.242.5.18       48          0                     NO   
 8  200.32.127.98     59         11                     NO   
 9  *                  *         58                     SI   
10  67.17.94.249     175         58                     NO   
11  *                  *          7                     SI   
12  *                  *          7                     SI   
13  4.68.127.54      196          7                     NO   
14  129.250.3.40     340        144                     NO   
15  129.250.4.88     187       -153                     NO   
16  129.250.2.219    207         20                     NO   
17  129.250.7.69     219         12                     NO   
18  129.250.2.177    335        116                     NO   
19  129.250.2.128    324        -11                     NO   
20  129.250.3.232    359         35                     NO   
21  61.200.82.178    347        -12                     NO   
22  *                  *         -1                     SI   
23  *                  *         -1                     SI   
24  *                  *         -1                     SI   
25  210.188.213.76   340         -1                     NO   
26  183.90.238.55    343          3                     NO   
 1  192.168.0.1       52         11                     NO   
 2  10.33.64.1        68         16                     NO   
 3  100.72.4.149      81         13                     NO   
 4  100.72.3.194      73         -8                     NO   
 5  100.72.3.193      52        -21                     NO   
 6  100.72.3.185      56          4                     NO   
 7  10.242.5.18       60          4                     NO   
 8  200.32.127.98     41        -19                     NO   
 9  200.32.127.97     84         43                     NO   
10  67.17.94.249     175         91                     NO   
11  *                  *          3                     SI   
12  *                  *          3                     SI   
13  4.68.127.54      184          3                     NO   
14  129.250.2.202    339        155                     NO   
15  129.250.4.20     193       -146                     NO   
16  129.250.2.219    219         26                     NO   
17  129.250.7.69     220          1                     NO   
18  129.250.2.177    336        116                     NO   
19  129.250.2.128    359         23                     NO   
20  129.250.3.232    344        -15                     NO   
21  61.200.82.178    339         -5                     NO   
22  *                  *          2                     SI   
23  *                  *          2                     SI   
24  *                  *          2                     SI   
25  210.188.213.76   348          2                     NO   
26  183.90.238.55    347         -1                     NO   
 1  192.168.0.1       44         12                     NO   
 2  10.33.64.1        56         12                     NO   
 3  100.72.4.149      53         -3                     NO   
 4  100.72.3.194      73         20                     NO   
 5  100.72.3.193      55        -18                     NO   
 6  100.72.3.185      55          0                     NO   
 7  10.242.5.18       64          9                     NO   
 8  200.32.127.98    148         84                     NO   
 9  200.32.127.97     71        -77                     NO   
10  67.17.99.233     199        128                     NO   
11  *                  *         -5                     SI   
12  *                  *         -5                     SI   
13  4.68.127.54      183         -5                     NO   
14  129.250.2.202    355        172                     NO   
15  129.250.4.20     187       -168                     NO   
16  129.250.2.219    229         42                     NO   
17  129.250.7.69     207        -22                     NO   
18  129.250.2.177    316        109                     NO   
19  129.250.7.33     339         23                     NO   
20  129.250.3.106    312        -27                     NO   
21  61.200.82.178    345         33                     NO   
22  *                  *          0                     SI   
23  *                  *          0                     SI   
24  *                  *          0                     SI   
25  210.188.213.76   343          0                     NO   
26  183.90.238.55    363         20                     NO   
 1  192.168.0.1       59         12                     NO   
 2  10.33.64.1        44        -15                     NO   
 3  100.72.4.149      51          7                     NO   
 4  100.72.3.194      83         32                     NO   
 5  100.72.3.193      53        -30                     NO   
 6  100.72.3.185      65         12                     NO   
 7  10.242.5.18       59         -6                     NO   
 8  200.32.127.98     60          1                     NO   
 9  *                  *         63                     SI   
10  67.17.99.233     187         63                     NO   
11  *                  *          0                     SI   
12  *                  *          0                     SI   
13  4.68.127.54      188          0                     NO   
14  129.250.2.202    335        147                     NO   
15  129.250.4.20     191       -144                     NO   
16  129.250.2.219    211         20                     NO   
17  129.250.7.69     212          1                     NO   
18  129.250.2.177    344        132                     NO   
19  129.250.7.33     335         -9                     NO   
20  129.250.3.106    343          8                     NO   
21  61.200.82.178    336         -7                     NO   
22  *                  *          5                     SI   
23  *                  *          5                     SI   
24  *                  *          5                     SI   
25  210.188.213.76   356          5                     NO   
26  183.90.238.55    339        -17                     NO   
 1  192.168.0.1       56         11                     NO   
 2  10.33.64.1        59          3                     NO   
 3  100.72.4.149      33        -26                     NO   
 4  100.72.3.194      64         31                     NO   
 5  100.72.3.193      87         23                     NO   
 6  100.72.3.185      64        -23                     NO   
 7  10.242.5.18       56         -8                     NO   
 8  200.32.127.98     42        -14                     NO   
 9  200.32.127.97     60         18                     NO   
10  67.17.99.233     172        112                     NO   
11  *                  *         10                     SI   
12  *                  *         10                     SI   
13  4.68.127.54      203         10                     NO   
14  129.250.2.202    327        124                     NO   
15  129.250.4.20     205       -122                     NO   
16  129.250.2.219    223         18                     NO   
17  129.250.7.69     212        -11                     NO   
18  129.250.2.177    308         96                     NO   
19  129.250.2.128    359         51                     NO   
20  129.250.3.232    323        -36                     NO   
21  61.200.82.178    356         33                     NO   
22  *                  *          0                     SI   
23  *                  *          0                     SI   
24  *                  *          0                     SI   
25  210.188.213.76   356          0                     NO   
26  183.90.238.55    340        -16                     NO   
 1  192.168.0.1       39         12                     NO   
 2  10.33.64.1        55         16                     NO   
 3  100.72.4.149      71         16                     NO   
 4  100.72.3.194      63         -8                     NO   
 5  100.72.3.193      64          1                     NO   
 6  100.72.3.185      43        -21                     NO   
 7  10.242.5.18       71         28                     NO   
 8  200.32.127.98     39        -32                     NO   
 9  200.32.127.97     80         41                     NO   
10  67.17.99.233     199        119                     NO   
11  *                  *         -7                     SI   
12  *                  *         -7                     SI   
13  4.68.127.54      176         -7                     NO   
14  129.250.2.202    352        176                     NO   
15  129.250.4.20     224       -128                     NO   
16  129.250.2.219    188        -36                     NO   
17  129.250.7.69     244         56                     NO   
18  129.250.2.177    335         91                     NO   
19  129.250.7.33     332         -3                     NO   
20  129.250.3.210    363         31                     NO   
21  61.200.91.186    344        -19                     NO   
22  *                  *         -3                     SI   
23  *                  *         -3                     SI   
24  *                  *         -3                     SI   
25  210.188.213.76   331         -3                     NO   
 1  192.168.0.1       49         11                     NO   
 2  10.33.64.1        47         -2                     NO   
 3  100.72.4.149      72         25                     NO   
 4  100.72.3.194      73          1                     NO   
 5  100.72.3.193      99         26                     NO   
 6  100.72.3.185      68        -31                     NO   
 7  10.242.5.18       44        -24                     NO   
 8  200.32.127.98     57         13                     NO   
 9  *                  *         61                     SI   
10  67.17.94.249     180         61                     NO   
11  *                  *          1                     SI   
12  *                  *          1                     SI   
13  4.68.127.54      184          1                     NO   
14  129.250.3.40     332        148                     NO   
15  129.250.4.88     187       -145                     NO   
16  129.250.2.219    208         21                     NO   
17  129.250.7.69     239         31                     NO   
18  129.250.2.177    363        124                     NO   
19  129.250.7.33     335        -28                     NO   
20  129.250.3.106    332         -3                     NO   
21  61.200.82.178    332          0                     NO   
22  *                  *          0                     SI   
23  *                  *          0                     SI   
24  *                  *          0                     SI   
25  210.188.213.76   335          0                     NO   
 1  192.168.0.1       30         12                     NO   
 2  10.33.64.1        53         23                     NO   
 3  100.72.4.149      63         10                     NO   
 4  100.72.3.194      67          4                     NO   
