Deltas entre nodos que respondieron:
TTL IP               RTT(ms)   RTT(i)-RTT(i-1) (ms)     Estimado
13  4.68.127.54      207          8                     NO   
14  129.250.3.40     356        149                     NO   
15  129.250.4.88     184       -172                     NO   
16  129.250.2.219    207         23                     NO   
17  129.250.7.69     231         24                     NO   
18  129.250.2.177    339        108                     NO   
19  129.250.2.128    331         -8                     NO   
20  129.250.3.88     344         13                     NO   
21  4.69.207.33       67       -277                     NO   
22  *                  *         67                     SI   
23  *                  *         67                     SI   
24  *                  *         67                     SI   
25  210.188.213.76   337         67                     NO   
 1  192.168.0.1       52         11                     NO   
 2  10.33.64.1        57          5                     NO   
 3  100.72.4.149      59          2                     NO   
 4  100.72.3.194      59          0                     NO   
 5  100.72.3.193      80         21                     NO   
 6  100.72.3.185      52        -28                     NO   
 7  10.242.5.18       32        -20                     NO   
 8  200.32.127.98     72         40                     NO   
 9  200.32.127.97     61        -11                     NO   
10  67.17.99.233     187        126                     NO   
11  *                  *         -2                     SI   
12  *                  *         -2                     SI   
13  4.68.127.54      181         -2                     NO   
14  129.250.3.40     348        167                     NO   
15  129.250.4.88     178       -170                     NO   
16  129.250.2.219    212         34                     NO   
17  129.250.7.69     229         17                     NO   
18  129.250.2.177    336        107                     NO   
19  129.250.7.33     320        -16                     NO   
20  129.250.3.106    331         11                     NO   
21  61.200.82.178    333          2                     NO   
22  *                  *         -4                     SI   
23  *                  *         -4                     SI   
24  *                  *         -4                     SI   
25  210.188.213.76   317         -4                     NO   
 1  192.168.0.1       56         10                     NO   
 2  10.33.64.1       100         44                     NO   
 3  100.72.4.149      83        -17                     NO   
 4  100.72.3.194      75         -8                     NO   
 5  100.72.3.193      67         -8                     NO   
 6  100.72.3.185      37        -30                     NO   
 7  10.242.5.18       71         34                     NO   
 8  200.32.127.98     60        -11                     NO   
 9  *                  *         51                     SI   
10  67.17.94.249     163         51                     NO   
11  *                  *          4                     SI   
12  *                  *          4                     SI   
13  4.68.127.54      175          4                     NO   
14  129.250.3.40     315        140                     NO   
15  129.250.4.88     192       -123                     NO   
16  129.250.2.219    220         28                     NO   
17  129.250.7.69     221          1                     NO   
18  129.250.2.177    356        135                     NO   
19  129.250.2.128    308        -48                     NO   
20  129.250.3.232    339         31                     NO   
21  61.200.82.178    384         45                     NO   
22  *                  *        -10                     SI   
23  *                  *        -10                     SI   
24  *                  *        -10                     SI   
25  210.188.213.76   343        -10                     NO   
 1  192.168.0.1       26         13                     NO   
 2  10.33.64.1        57         31                     NO   
 3  100.72.4.149      69         12                     NO   
 4  100.72.3.194      72          3                     NO   
 5  100.72.3.193      60        -12                     NO   
 6  100.72.3.185      51         -9                     NO   
 7  10.242.5.18       56          5                     NO   
 8  200.32.127.98     76         20                     NO   
 9  200.32.127.97     45        -31                     NO   
10  67.17.94.249     176        131                     NO   
11  *                  *          1                     SI   
12  *                  *          1                     SI   
13  4.68.127.54      180          1                     NO   
14  129.250.2.202    344        164                     NO   
15  129.250.4.20     184       -160                     NO   
16  129.250.2.219    223         39                     NO   
17  129.250.7.69     243         20                     NO   
18  129.250.2.177    331         88                     NO   
19  129.250.7.33     331          0                     NO   
20  129.250.3.106    375         44                     NO   
21  61.200.82.178    347        -28                     NO   
22  *                  *         -3                     SI   
23  *                  *         -3                     SI   
24  *                  *         -3                     SI   
25  210.188.213.76   332         -3                     NO   
 1  192.168.0.1       39         12                     NO   
 2  10.33.64.1        60         21                     NO   
 3  100.72.4.149      64          4                     NO   
 4  100.72.3.194      52        -12                     NO   
 5  100.72.3.193      56          4                     NO   
 6  100.72.3.185      57          1                     NO   
 7  10.242.5.18       60          3                     NO   
 8  200.32.127.98     56         -4                     NO   
 9  *                  *         76                     SI   
10  67.17.94.249     208         76                     NO   
11  *                  *         13                     SI   
12  *                  *         13                     SI   
13  4.68.127.54      248         13                     NO   
14  129.250.3.40     328         80                     NO   
15  129.250.4.88     228       -100                     NO   
16  129.250.2.219    224         -4                     NO   
17  129.250.7.69     239         15                     NO   
18  129.250.2.177    332         93                     NO   
19  129.250.7.33     344         12                     NO   
20  129.250.3.210    332        -12                     NO   
21  61.200.91.186    339          7                     NO   
22  *                  *          4                     SI   
23  *                  *          4                     SI   
24  *                  *          4                     SI   
25  210.188.213.76   355          4                     NO   
26  *                  *         -5                     SI   
27  183.90.238.55    344         -5                     NO   
 1  192.168.0.1       63         10                     NO   
 2  10.33.64.1        55         -8                     NO   
 3  100.72.4.149      64          9                     NO   
 4  100.72.3.194      60         -4                     NO   
 5  100.72.3.193      56         -4                     NO   
 6  100.72.3.185      52         -4                     NO   
 7  10.242.5.18       60          8                     NO   
 8  200.32.127.98     48        -12                     NO   
 9  200.32.127.97    351        303                     NO   
10  67.17.99.233     195       -156                     NO   
11  *                  *         -1                     SI   
12  *                  *         -1                     SI   
13  4.68.127.54      192         -1                     NO   
14  129.250.2.202    336        144                     NO   
15  129.250.4.20     208       -128                     NO   
16  129.250.2.219    202         -6                     NO   
17  129.250.7.69     224         22                     NO   
18  129.250.2.177    331        107                     NO   
19  129.250.2.128    319        -12                     NO   
20  129.250.3.88     340         21                     NO   
21  61.200.91.186    340          0                     NO   
22  *                  *         -1                     SI   
23  *                  *         -1                     SI   
24  *                  *         -1                     SI   
25  210.188.213.76   335         -1                     NO   
26  *                  *          6                     SI   
27  183.90.238.55    348          6                     NO   
 1  192.168.0.1       61         11                     NO   
 2  10.33.64.1        34        -27                     NO   
 3  100.72.4.149      58         24                     NO   
 4  100.72.3.194      46        -12                     NO   
 5  100.72.3.193      64         18                     NO   
 6  100.72.3.185      54        -10                     NO   
 7  10.242.5.18       59          5                     NO   
 8  200.32.127.98     56         -3                     NO   
 9  *                  *         61                     SI   
10  67.17.94.249     179         61                     NO   
11  *                  *          7                     SI   
12  *                  *          7                     SI   
13  4.68.127.54      201          7                     NO   
14  129.250.2.202    343        142                     NO   
15  129.250.4.20     187       -156                     NO   
16  129.250.2.219    203         16                     NO   
17  129.250.7.69     236         33                     NO   
18  129.250.2.177    349        113                     NO   
19  129.250.2.128    331        -18                     NO   
20  129.250.3.232    363         32                     NO   
21  61.200.82.178    359         -4                     NO   
22  *                  *         -3                     SI   
23  *                  *         -3                     SI   
24  *                  *         -3                     SI   
25  210.188.213.76   344         -3                     NO   
26  183.90.238.55    335         -9                     NO   
 1  192.168.0.1       56         11                     NO   
 2  10.33.64.1        48         -8                     NO   
 3  100.72.4.149      63         15                     NO   
 4  100.72.3.194      56         -7                     NO   
 5  100.72.3.193      76         20                     NO   
 6  100.72.3.185      48        -28                     NO   
 7  10.242.5.18       67         19                     NO   
 8  200.32.127.98     71          4                     NO   
 9  200.32.127.97     56        -15                     NO   
10  67.17.94.249     176        120                     NO   
11  *                  *          2                     SI   
12  *                  *          2                     SI   
13  4.68.127.54      184          2                     NO   
14  129.250.3.40     332        148                     NO   
15  129.250.4.88     195       -137                     NO   
16  129.250.2.219    211         16                     NO   
17  129.250.7.69     228         17                     NO   
18  129.250.2.177    344        116                     NO   
19  129.250.7.33     324        -20                     NO   
20  129.250.3.210    347         23                     NO   
21  61.200.91.186    340         -7                     NO   
22  *                  *         12                     SI   
23  *                  *         12                     SI   
24  *                  *         12                     SI   
25  210.188.213.76   388         12                     NO   
26  183.90.238.55    352        -36                     NO   
 1  192.168.0.1       67         11                     NO   
 2  10.33.64.1        60         -7                     NO   
 3  100.72.4.149      52         -8                     NO   
 4  100.72.3.194      52          0                     NO   
 5  100.72.3.193      80         28                     NO   
 6  100.72.3.185      60        -20                     NO   
 7  10.242.5.18       56         -4                     NO   
 8  200.32.127.98     60          4                     NO   
 9  *                  *         58                     SI   
10  67.17.94.249     176         58                     NO   
11  *                  *          6                     SI   
12  *                  *          6                     SI   
13  4.68.127.54      196          6                     NO   
14  129.250.2.202    336        140                     NO   
15  129.250.4.20     199       -137                     NO   
16  129.250.2.219    222         23                     NO   
17  129.250.7.69     236         14                     NO   
18  129.250.2.177    323         87                     NO   
19  129.250.7.33     327          4                     NO   
20  129.250.3.106    329          2                     NO   
21  61.200.82.178    336          7                     NO   
22  *                  *          2                     SI   
