Deltas entre nodos que respondieron:
TTL IP               RTT(ms)   RTT(i)-RTT(i-1) (ms)     Estimado
14  154.54.42.86     304         92                     NO   
15  154.54.57.162    288        -16                     NO   
16  154.54.61.69     300         12                     NO   
17  149.14.146.194   307          7                     NO   
18  155.232.1.40     460        153                     NO   
19  155.232.64.76    464          4                     NO   
20  155.232.1.16     500         36                     NO   
21  155.232.15.214   476        -24                     NO   
22  155.232.29.2     472         -4                     NO   
 1  192.168.0.1       68         19                     NO   
 2  *                  *          4                     SI   
 3  *                  *          4                     SI   
 4  *                  *          4                     SI   
 5  *                  *          4                     SI   
 6  200.89.165.250    88          4                     NO   
 7  185.70.203.32    184         96                     NO   
 8  89.221.41.171    199         15                     NO   
 9  154.54.9.17      180        -19                     NO   
10  154.54.47.29     256         76                     NO   
11  154.54.28.49     219        -37                     NO   
12  154.54.24.221    248         29                     NO   
13  154.54.40.109    239         -9                     NO   
14  154.54.42.86     312         73                     NO   
15  154.54.57.162    296        -16                     NO   
16  154.54.61.69     284        -12                     NO   
17  149.14.146.194   300         16                     NO   
18  155.232.1.40     440        140                     NO   
19  155.232.64.76    468         28                     NO   
20  155.232.1.16     476          8                     NO   
21  155.232.15.214   471         -5                     NO   
22  155.232.29.2     451        -20                     NO   
 1  192.168.0.1       60         18                     NO   
 2  *                  *          9                     SI   
 3  *                  *          9                     SI   
 4  *                  *          9                     SI   
 5  *                  *          9                     SI   
 6  200.89.165.250   108          9                     NO   
 7  185.70.203.32     75        -33                     NO   
 8  89.221.41.171    220        145                     NO   
 9  154.54.9.17      188        -32                     NO   
10  154.54.47.29     184         -4                     NO   
11  154.54.28.49     216         32                     NO   
12  154.54.24.221    212         -4                     NO   
13  154.54.40.109    228         16                     NO   
14  154.54.42.86     300         72                     NO   
15  154.54.57.162    312         12                     NO   
16  154.54.61.69     304         -8                     NO   
17  149.14.146.194   288        -16                     NO   
18  155.232.1.40     448        160                     NO   
19  155.232.64.76    468         20                     NO   
20  155.232.1.16     468          0                     NO   
21  155.232.15.214   472          4                     NO   
22  155.232.29.2     460        -12                     NO   
 1  192.168.0.1       56         19                     NO   
 2  *                  *         15                     SI   
 3  *                  *         15                     SI   
 4  *                  *         15                     SI   
 5  *                  *         15                     SI   
 6  200.89.165.250   132         15                     NO   
 7  185.70.203.32     68        -64                     NO   
 8  89.221.41.171    236        168                     NO   
 9  154.54.9.17      176        -60                     NO   
10  154.54.47.29     192         16                     NO   
11  154.54.28.49     208         16                     NO   
12  154.54.24.221    224         16                     NO   
13  154.54.40.109    220         -4                     NO   
14  154.54.42.86     296         76                     NO   
15  154.54.57.162    296          0                     NO   
16  154.54.61.69     300          4                     NO   
17  149.14.146.194   300          0                     NO   
18  155.232.1.40     440        140                     NO   
19  155.232.64.76    472         32                     NO   
20  155.232.1.16     480          8                     NO   
21  155.232.15.214   479         -1                     NO   
22  155.232.29.2     472         -7                     NO   
 1  192.168.0.1       48         20                     NO   
 2  *                  *          3                     SI   
 3  *                  *          3                     SI   
 4  *                  *          3                     SI   
 5  *                  *          3                     SI   
 6  200.89.165.250    64          3                     NO   
 7  185.70.203.32     68          4                     NO   
 8  89.221.41.171    296        228                     NO   
 9  154.54.9.17      184       -112                     NO   
10  154.54.47.29     176         -8                     NO   
11  154.54.28.49     208         32                     NO   
12  154.54.24.221    208          0                     NO   
13  154.54.40.109    232         24                     NO   
14  154.54.42.86     299         67                     NO   
15  154.54.57.162    304          5                     NO   
16  154.54.61.69     296         -8                     NO   
17  149.14.146.194   308         12                     NO   
18  155.232.1.40     456        148                     NO   
19  155.232.64.76    464          8                     NO   
20  155.232.1.16     480         16                     NO   
21  155.232.15.214   476         -4                     NO   
22  155.232.29.2     459        -17                     NO   
 1  192.168.0.1       56         19                     NO   
 2  *                  *          2                     SI   
 3  *                  *          2                     SI   
 4  *                  *          2                     SI   
 5  *                  *          2                     SI   
 6  200.89.165.250    68          2                     NO   
 7  185.70.203.32     84         16                     NO   
 8  89.221.41.171    212        128                     NO   
 9  154.54.9.17      204         -8                     NO   
10  154.54.47.29     196         -8                     NO   
11  154.54.28.49     216         20                     NO   
12  154.54.24.221    232         16                     NO   
13  154.54.40.109    211        -21                     NO   
14  154.54.42.86     300         89                     NO   
15  154.54.57.162    308          8                     NO   
16  154.54.61.69     308          0                     NO   
17  149.14.146.194   296        -12                     NO   
18  155.232.1.40     452        156                     NO   
19  155.232.64.76    468         16                     NO   
20  155.232.1.16     476          8                     NO   
21  155.232.15.214   484          8                     NO   
22  155.232.29.2     472        -12                     NO   
 1  192.168.0.1       72         19                     NO   
 2  *                  *         -2                     SI   
 3  *                  *         -2                     SI   
 4  *                  *         -2                     SI   
 5  *                  *         -2                     SI   
 6  200.89.165.250    60         -2                     NO   
 7  185.70.203.32     56         -4                     NO   
 8  89.221.41.171    192        136                     NO   
 9  154.54.9.17      224         32                     NO   
10  154.54.47.29     188        -36                     NO   
11  154.54.28.49     212         24                     NO   
