Deltas entre nodos que respondieron:
TTL IP               RTT(ms)   RTT(i)-RTT(i-1) (ms)     Estimado
18  149.6.22.74      311         -8                     NO   
19  90.147.80.206    320          9                     NO   
20  193.206.136.46   312         -8                     NO   
21  193.205.80.112   308         -4                     NO   
TTL1    TTL2    IP1                     IP2                     Tiempo entre nodos
7       8       185.70.203.32           89.221.41.181           134 ms
10      11      154.54.47.17            154.54.24.145           27 ms
12      13      154.54.7.157            154.54.40.105           11 ms
13      14      154.54.40.105           66.28.4.198             78 ms
14      15      66.28.4.198             130.117.49.154          16 ms
16      17      130.117.1.42            154.54.57.65            14 ms
18      19      149.6.22.74             90.147.80.206           12 ms
20      21      193.206.136.46          193.205.80.112          10 ms
TTL1    TTL2    IP1                     IP2                     Valor Z
7       8       185.70.203.32           89.221.41.181           2.2857219960393027
10      11      154.54.47.17            154.54.24.145           -0.25528843072646756
12      13      154.54.7.157            154.54.40.105           -0.6352526066914426
13      14      154.54.40.105           66.28.4.198             0.9558473801618902
14      15      66.28.4.198             130.117.49.154          -0.5165138017023878
16      17      130.117.1.42            154.54.57.65            -0.5640093236980097
18      19      149.6.22.74             90.147.80.206           -0.6115048456936316
20      21      193.206.136.46          193.205.80.112          -0.6590003676892535
OUTLIERS USANDO CIMBALA:
========================
TTL1    TTL2    IP1                     IP2                     Tiempo entre nodos
7       8       185.70.203.32           89.221.41.181           134 ms
13      14      154.54.40.105           66.28.4.198             78 ms
OUTLIERS PARA RESULTADOS NORMALIZADOS:
======================================
TTL1    TTL2    IP1                     IP2                     Valor Z
7       8       185.70.203.32           89.221.41.181           2.2857219960393027
13      14      154.54.40.105           66.28.4.198             0.9558473801618902
